курси
HR-технології (управління людськими ресурсами),Економічний,Осінній,/media/4l5jsxnf/chnu_vybirkovi.jpg?width=330&height=210&format=webp&quality=80,210,330
Розробка UI/UX дизайну,Математики та інформатики,Весняний,/media/4l5jsxnf/chnu_vybirkovi.jpg?width=330&height=210&format=webp&quality=80,210,330
Python для Data Science,Математики та інформатики,"Весняний, Осінній",/media/4l5jsxnf/chnu_vybirkovi.jpg?width=330&height=210&format=webp&quality=80,210,330
TEAM BUILDING (Командоутворення),Економічний,Осінній,/media/4l5jsxnf/chnu_vybirkovi.jpg?width=330&height=210&format=webp&quality=80,210,330
Антикорупційна культура,Юридичний,Весняний,/media/4l5jsxnf/chnu_vybirkovi.jpg?width=330&height=210&format=webp&quality=80,210,330
Архітектура комп'ютерів,Математики та інформатики,Весняний,/media/4l5jsxnf/chnu_vybirkovi.jpg?width=330&height=210&format=webp&quality=80,210,330
Безпека кіберпростору,Навчально-науковий інститут фізико-технічних та комп`ютерних наук,"Осінній, Весняний",/media/4l5jsxnf/chnu_vybirkovi.jpg?width=330&height=210&format=webp&quality=80,210,330
Бізнес-аналітики,Економічний,Осінній,/media/4l5jsxnf/chnu_vybirkovi.jpg?width=330&height=210&format=webp&quality=80,210,330
Бізнес-статистика,Економічний,Осінній,/media/4l5jsxnf/chnu_vybirkovi.jpg?width=330&height=210&format=webp&quality=80,210,330
Відхилення поведінки особистості: профілактика і корекція,"Педагогіки, психології та соціальної роботи","Осінній, Весняний",/media/4l5jsxnf/chnu_vybirkovi.jpg?width=330&height=210&format=webp&quality=80,210,330
